ID,Symbol,Direction,SetupType,Leverage,Entry,SL,TP1,Exit,ExitReason,PnL$,PnL%,RR,SweepDist%,KillZone
685,ARB-USDT,LONG,STANDARD,15,0.204404,0.203996,0.213600,0.210600,TIME,0.43,0.24,15.17,0.0000,London
686,BTC-USDT,SHORT,TRAP_LIQ_SWEEP,100,91896.811200,92080.788800,89800.000000,90619.300000,TIME,1.25,0.69,6.94,0.0655,NY
687,SUI-USDT,SHORT,STANDARD,15,1.850747,1.854453,1.778700,1.804900,TIME,0.35,0.19,12.37,0.0000,NY
688,BTC-USDT,SHORT,TRAP_LIQ_SWEEP,100,90741.667500,90923.332500,90351.800000,90923.332500,SL,-0.34,-0.19,-1.00,0.0413,London
689,ETH-USDT,SHORT,STANDARD,15,3098.898000,3105.102000,3077.200000,3105.102000,SL,-0.05,-0.03,-1.00,0.0000,London
690,SOL-USDT,SHORT,STANDARD,15,136.832031,137.105969,135.342000,137.105969,SL,-0.05,-0.03,-1.00,0.0000,London
691,DOGE-USDT,LONG,STANDARD,15,0.138659,0.138381,0.140520,0.140520,TP1,0.18,0.10,6.72,0.0000,London
692,ADA-USDT,SHORT,STANDARD,15,0.391908,0.392692,0.385260,0.392692,SL,-0.05,-0.03,-1.00,0.0000,London
693,AVAX-USDT,LONG,STANDARD,15,13.683670,13.656330,13.937000,13.937000,TP1,0.26,0.14,9.27,0.0000,London
694,LINK-USDT,SHORT,STANDARD,15,13.263723,13.290277,13.079000,13.220000,TIME,0.03,0.02,1.65,0.0000,London
695,APT-USDT,LONG,STANDARD,15,1.800999,1.797401,1.838600,1.805400,TIME,0.02,0.01,1.22,0.0000,London
696,ARB-USDT,LONG,STANDARD,15,0.206206,0.205794,0.213100,0.208000,TIME,0.11,0.06,4.35,0.0000,London
697,PAXG-USDT,LONG,STANDARD,15,4511.406900,4502.393100,4524.490000,4512.540000,TIME,-0.02,-0.01,0.13,0.0000,London
698,BTC-USDT,LONG,STANDARD,15,90442.151800,90261.448200,90832.500000,90832.500000,TP1,0.04,0.02,2.16,0.0000,NY
699,ETH-USDT,SHORT,STANDARD,15,3105.251640,3111.468360,3077.200000,3111.468360,SL,-0.05,-0.03,-1.00,0.0000,NY
700,SOL-USDT,SHORT,STANDARD,15,136.832031,137.105969,135.342000,137.105969,SL,-0.05,-0.03,-1.00,0.0000,NY
701,XRP-USDT,LONG,STANDARD,15,2.084883,2.080717,2.109000,2.080717,SL,-0.05,-0.03,-1.00,0.0000,NY
702,DOGE-USDT,SHORT,STANDARD,15,0.140260,0.140540,0.138520,0.138520,TP1,0.17,0.09,6.20,0.0000,NY
703,LINK-USDT,SHORT,STANDARD,15,13.263723,13.290277,13.079000,13.290277,SL,-0.05,-0.03,-1.00,0.0000,NY
704,PAXG-USDT,SHORT,STANDARD,15,4519.965510,4529.014490,4506.900000,4511.010000,TIME,0.01,0.00,0.99,0.0000,NY
705,BTC-USDT,SHORT,STANDARD,15,92404.403100,92589.396900,90179.200000,90179.200000,TP1,0.34,0.19,12.03,0.0000,London
706,ETH-USDT,SHORT,STANDARD,15,3167.489340,3173.830660,3091.080000,3091.080000,TP1,0.34,0.19,12.05,0.0000,London
707,LINK-USDT,SHORT,STANDARD,15,13.502484,13.529516,13.039000,13.039000,TP1,0.49,0.27,17.15,0.0000,London
708,ARB-USDT,SHORT,STANDARD,15,0.210989,0.211411,0.200600,0.200600,TP1,0.72,0.39,24.59,0.0000,London
709,SUI-USDT,SHORT,STANDARD,15,1.849449,1.853151,1.762400,1.762400,TP1,0.69,0.37,23.51,0.0000,London
710,PAXG-USDT,SHORT,STANDARD,15,4594.540860,4603.739140,4503.400000,4603.739140,SL,-0.05,-0.03,-1.00,0.0000,London
711,BTC-USDT,LONG,STANDARD,15,90269.379200,90089.020800,92496.900000,91829.000000,TIME,0.24,0.13,8.65,0.0000,NY
712,ETH-USDT,LONG,STANDARD,15,3094.171080,3087.988920,3170.660000,3119.580000,TIME,0.10,0.05,4.11,0.0000,NY
713,XRP-USDT,LONG,STANDARD,15,2.035734,2.031666,2.109000,2.071100,TIME,0.24,0.13,8.70,0.0000,NY
714,DOGE-USDT,LONG,STANDARD,15,0.135736,0.135464,0.142300,0.138520,TIME,0.29,0.15,10.27,0.0000,NY
715,ADA-USDT,LONG,STANDARD,15,0.384124,0.383356,0.403480,0.393380,TIME,0.34,0.18,12.06,0.0000,NY
716,NEAR-USDT,LONG,STANDARD,15,1.665364,1.662036,1.768400,1.702000,TIME,0.31,0.16,11.01,0.0000,NY
717,ARB-USDT,LONG,STANDARD,15,0.200801,0.200399,0.211200,0.203300,TIME,0.17,0.09,6.23,0.0000,NY
718,SUI-USDT,LONG,STANDARD,15,1.764162,1.760638,1.851300,1.801300,TIME,0.29,0.16,10.54,0.0000,NY
719,PAXG-USDT,SHORT,STANDARD,15,4599.016380,4608.223620,4503.400000,4608.223620,SL,-0.05,-0.03,-1.00,0.0000,NY
720,SOL-USDT,LONG,STANDARD,15,137.902765,137.627235,144.163000,142.036000,TIME,0.43,0.23,15.00,0.0000,London
721,PAXG-USDT,SHORT,STANDARD,15,4631.134230,4640.405770,4581.640000,4640.405770,SL,-0.05,-0.03,-1.00,0.0000,London
722,BTC-USDT,SHORT,STANDARD,15,92557.350000,92742.650000,90075.100000,92742.650000,SL,-0.05,-0.03,-1.00,0.0000,NY
723,ETH-USDT,SHORT,STANDARD,15,3144.602250,3150.897750,3064.050000,3150.897750,SL,-0.05,-0.03,-1.00,0.0000,NY
724,DOGE-USDT,SHORT,STANDARD,15,0.140190,0.140470,0.134850,0.140470,SL,-0.05,-0.03,-1.00,0.0000,NY
